Phone timestamp;RR-interval [ms]
2021-05-16T08:08:45.762;800
2021-05-16T08:08:46.562;1750
2021-05-16T08:08:48.312;812
2021-05-16T08:08:49.124;798
2021-05-16T08:08:49.922;801
2021-05-16T08:08:50.723;796
2021-05-16T08:08:51.519;839
2021-05-16T08:08:52.358;859
2021-05-16T08:08:53.217;844
2021-05-16T08:08:54.061;814
2021-05-16T08:08:54.875;825
2021-05-16T08:08:55.700;899
2021-05-16T08:08:56.599;884
2021-05-16T08:08:57.483;878
2021-05-16T08:08:58.361;902
2021-05-16T08:08:59.263;900
2021-05-16T08:09:00.163;871
2021-05-16T08:09:01.034;822
2021-05-16T08:09:01.856;835
2021-05-16T08:09:02.691;825
2021-05-16T08:09:03.516;811
2021-05-16T08:09:04.327;772
2021-05-16T08:09:05.099;802
2021-05-16T08:09:05.901;854
2021-05-16T08:09:06.755;1012
2021-05-16T08:09:07.767;909
2021-05-16T08:09:08.676;838
2021-05-16T08:09:09.514;777
2021-05-16T08:09:10.291;1568
2021-05-16T08:09:11.859;737
2021-05-16T08:09:12.596;741
2021-05-16T08:09:13.337;741
2021-05-16T08:09:14.078;754
2021-05-16T08:09:14.832;1654
2021-05-16T08:09:16.486;782
2021-05-16T08:09:17.268;836
2021-05-16T08:09:18.104;759
2021-05-16T08:09:18.863;781
2021-05-16T08:09:19.644;763
2021-05-16T08:09:20.407;803
2021-05-16T08:09:21.210;1615
2021-05-16T08:09:22.825;762
2021-05-16T08:09:23.587;821
2021-05-16T08:09:24.408;808
2021-05-16T08:09:25.216;793
2021-05-16T08:09:26.009;776
2021-05-16T08:09:26.785;783
2021-05-16T08:09:27.568;784
2021-05-16T08:09:28.352;776
2021-05-16T08:09:29.128;769
2021-05-16T08:09:29.897;780
2021-05-16T08:09:30.677;786
2021-05-16T08:09:31.463;763
2021-05-16T08:09:32.226;762
2021-05-16T08:09:32.988;761
2021-05-16T08:09:33.749;771
2021-05-16T08:09:34.520;770
2021-05-16T08:09:35.290;747
2021-05-16T08:09:36.037;710
2021-05-16T08:09:36.747;694
2021-05-16T08:09:37.441;703
2021-05-16T08:09:38.144;728
2021-05-16T08:09:38.872;1114
2021-05-16T08:09:39.986;980
2021-05-16T08:09:40.966;875
2021-05-16T08:09:41.841;791
2021-05-16T08:09:42.632;717
2021-05-16T08:09:43.349;694
2021-05-16T08:09:44.043;671
2021-05-16T08:09:44.714;661
2021-05-16T08:09:45.375;661
2021-05-16T08:09:46.036;704
2021-05-16T08:09:46.740;871
2021-05-16T08:09:47.611;1099
2021-05-16T08:09:48.710;1079
2021-05-16T08:09:49.789;1032
2021-05-16T08:09:50.821;924
2021-05-16T08:09:51.745;850
2021-05-16T08:09:52.595;801
2021-05-16T08:09:53.396;799
2021-05-16T08:09:54.195;834
2021-05-16T08:09:55.029;942
2021-05-16T08:09:55.971;1954
2021-05-16T08:09:57.925;831
2021-05-16T08:09:58.756;779
2021-05-16T08:09:59.535;755
2021-05-16T08:10:00.290;754
2021-05-16T08:10:01.044;830
2021-05-16T08:10:01.874;1291
2021-05-16T08:10:03.165;1148
2021-05-16T08:10:04.313;1109
2021-05-16T08:10:05.422;1027
2021-05-16T08:10:06.449;950
2021-05-16T08:10:07.399;877
2021-05-16T08:10:08.276;797
2021-05-16T08:10:09.073;759
2021-05-16T08:10:09.832;1558
2021-05-16T08:10:11.390;742
2021-05-16T08:10:12.132;751
2021-05-16T08:10:12.883;743
