Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-05-16T08:09:03.286;674467737249392677;-993;30;-237
2021-05-16T08:09:03.354;674467737317929278;-993;31;-237
2021-05-16T08:09:03.423;674467737386465879;-994;30;-237
2021-05-16T08:09:03.491;674467737455002480;-1000;29;-239
2021-05-16T08:09:03.560;674467737523539081;-1003;32;-239
2021-05-16T08:09:03.628;674467737592075682;-998;32;-240
2021-05-16T08:09:03.697;674467737660612283;-999;31;-238
2021-05-16T08:09:03.765;674467737729148884;-1003;30;-236
2021-05-16T08:09:03.834;674467737797685485;-1004;29;-236
2021-05-16T08:09:03.902;674467737866222086;-1001;26;-239
2021-05-16T08:09:03.971;674467737934758687;-999;24;-239
2021-05-16T08:09:04.039;674467738003295288;-999;23;-239
2021-05-16T08:09:04.108;674467738071831889;-996;23;-241
2021-05-16T08:09:04.176;674467738140368490;-993;22;-238
2021-05-16T08:09:04.245;674467738208905091;-1000;23;-239
2021-05-16T08:09:04.314;674467738277441692;-1003;26;-240
2021-05-16T08:09:04.382;674467738345978293;-998;28;-242
2021-05-16T08:09:04.451;674467738414514894;-1000;30;-243
2021-05-16T08:09:04.519;674467738483051495;-1001;28;-242
2021-05-16T08:09:04.588;674467738551588096;-997;30;-248
2021-05-16T08:09:04.656;674467738620124697;-995;28;-255
2021-05-16T08:09:04.725;674467738688661298;-994;23;-257
2021-05-16T08:09:04.793;674467738757197899;-992;22;-258
2021-05-16T08:09:04.862;674467738825734500;-992;20;-264
2021-05-16T08:09:04.930;674467738894271101;-993;18;-271
2021-05-16T08:09:04.999;674467738962807702;-993;18;-273
2021-05-16T08:09:05.067;674467739031344303;-992;17;-271
2021-05-16T08:09:05.136;674467739099880904;-991;15;-269
2021-05-16T08:09:05.205;674467739168417505;-992;9;-272
2021-05-16T08:09:05.273;674467739236954106;-993;4;-275
2021-05-16T08:09:05.342;674467739305490707;-991;3;-277
2021-05-16T08:09:05.410;674467739374027308;-994;5;-278
2021-05-16T08:09:05.479;674467739442563909;-995;7;-275
2021-05-16T08:09:05.547;674467739511100510;-993;6;-273
2021-05-16T08:09:05.616;674467739579637111;-992;9;-278
2021-05-16T08:09:05.684;674467739648173712;-992;11;-279
2021-05-16T08:09:05.753;674467739716710327;-992;11;-275
2021-05-16T08:09:05.821;674467739785246928;-993;10;-281
2021-05-16T08:09:05.890;674467739853783529;-991;10;-289
2021-05-16T08:09:05.958;674467739922320130;-991;11;-288
2021-05-16T08:09:06.027;674467739990856731;-991;12;-286
2021-05-16T08:09:06.096;674467740059393332;-990;13;-289
2021-05-16T08:09:06.164;674467740127929933;-988;11;-297
2021-05-16T08:09:06.233;674467740196466534;-989;10;-308
2021-05-16T08:09:06.301;674467740265003135;-991;11;-310
2021-05-16T08:09:06.370;674467740333539736;-993;8;-307
2021-05-16T08:09:06.438;674467740402076337;-996;6;-306
2021-05-16T08:09:06.507;674467740470612938;-994;7;-307
2021-05-16T08:09:06.575;674467740539149539;-991;8;-296
2021-05-16T08:09:06.644;674467740607686140;-991;13;-284
2021-05-16T08:09:06.712;674467740676222741;-990;15;-281
2021-05-16T08:09:06.781;674467740744759342;-990;14;-282
2021-05-16T08:09:06.849;674467740813295943;-991;13;-281
2021-05-16T08:09:06.918;674467740881832544;-994;10;-271
2021-05-16T08:09:06.986;674467740950369145;-989;13;-272
2021-05-16T08:09:07.055;674467741018905746;-995;16;-268
2021-05-16T08:09:07.124;674467741087442347;-1001;13;-253
2021-05-16T08:09:07.192;674467741155978948;-992;11;-246
2021-05-16T08:09:07.261;674467741224515549;-998;6;-241
2021-05-16T08:09:07.329;674467741293052150;-1018;6;-240
2021-05-16T08:09:07.398;674467741361588751;-1022;17;-241
2021-05-16T08:09:07.466;674467741430125352;-1009;24;-242
2021-05-16T08:09:07.535;674467741498661953;-999;24;-243
2021-05-16T08:09:07.603;674467741567198554;-994;25;-248
2021-05-16T08:09:07.672;674467741635735155;-991;26;-255
2021-05-16T08:09:07.740;674467741704271756;-991;27;-263
2021-05-16T08:09:07.809;674467741772808357;-991;25;-273
2021-05-16T08:09:07.877;674467741841344958;-992;22;-284
2021-05-16T08:09:07.946;674467741909881559;-990;22;-295
2021-05-16T08:09:08.015;674467741978418160;-988;22;-301
2021-05-16T08:09:08.083;674467742046954761;-988;20;-309
2021-05-16T08:09:08.152;674467742115491362;-987;15;-318
2021-05-16T08:09:08.191;674467742155072502;-985;9;-325
2021-05-16T08:09:08.231;674467742194653634;-985;9;-328
2021-05-16T08:09:08.270;674467742234234766;-986;10;-328
2021-05-16T08:09:08.310;674467742273815898;-987;11;-327
2021-05-16T08:09:08.350;674467742313397030;-986;16;-324
2021-05-16T08:09:08.389;674467742352978162;-986;18;-321
2021-05-16T08:09:08.429;674467742392559294;-986;17;-319
2021-05-16T08:09:08.468;674467742432140426;-988;13;-316
2021-05-16T08:09:08.508;674467742471721558;-989;7;-313
2021-05-16T08:09:08.547;674467742511302690;-989;9;-320
2021-05-16T08:09:08.587;674467742550883822;-990;12;-318
2021-05-16T08:09:08.627;674467742590464954;-989;14;-308
2021-05-16T08:09:08.666;674467742630046086;-989;14;-304
2021-05-16T08:09:08.706;674467742669627218;-989;11;-298
2021-05-16T08:09:08.745;674467742709208350;-989;13;-297
2021-05-16T08:09:08.785;674467742748789482;-989;15;-298
2021-05-16T08:09:08.824;674467742788370614;-990;15;-297
2021-05-16T08:09:08.864;674467742827951746;-990;15;-306
2021-05-16T08:09:08.904;674467742867532878;-991;15;-315
2021-05-16T08:09:08.943;674467742907114010;-992;16;-313
2021-05-16T08:09:08.983;674467742946695142;-990;19;-312
2021-05-16T08:09:09.022;674467742986276274;-988;21;-314
2021-05-16T08:09:09.062;674467743025857406;-988;21;-318
